Name
PROTEUS MIRABILIS
PROTEUS PENNERI
PROTEUS VULGARIS
PROVIDENCIA RETTGERI
PROVIDENCIA STUARTII
PSEUDOGLUTAMICIBACTER CUMMINSII
PSEUDOMONAS AERUGINOSA
PSEUDOMONAS AERUGINOSA ATCC 27853
PSEUDOMONAS FLUORESCENS 
PSEUDOMONAS PUTIDA 
PSEUDOMONAS SPP (NON-AERUGINOSA)
PSEUDOMONAS STUTZERI 
RAOULTELLA ORNITHINOLYTICA
RAOULTELLA PLANTICOLA
RHODOTORULA MUCILAGINOSA 
ROTHIA AERIA
ROTHIA AMARAE
ROTHIA DENTOCARIOSA
ROTHIA MUCILAGINOSA
ROTHIA NASIMURIUM
ROTHIA TERRAE
SACCHAROMYCES CEREVISIAE 
SALMONELLA AGONA
SALMONELLA ANATUM
SALMONELLA BAREILLY
SALMONELLA BERTA
SALMONELLA BRAENDERUP
SALMONELLA DERBY
SALMONELLA DUBLIN
SALMONELLA ENTERICA
SALMONELLA ENTERITIDIS
SALMONELLA  B
SALMONELLA  C
SALMONELLA  D
SALMONELLA HADAR
SALMONELLA HARTFORD
SALMONELLA HEIDELBERG
SALMONELLA INFANTIS
SALMONELLA JAVIANA
SALMONELLA LITCHFIELD
SALMONELLA MANHATTAN
SALMONELLA MBANDAKA
SALMONELLA MISSISSIPPI
SALMONELLA MONTEVIDEO
SALMONELLA MUENCHEN
SALMONELLA NEWPORT
SALMONELLA ORANIENBURG
SALMONELLA PANAMA
SALMONELLA PARATYPHI
SALMONELLA POONA
SALMONELLA RUBISLAW
SALMONELLA SAINTPAUL
SALMONELLA SANDIEGO
SALMONELLA SCHWARZENGRUND
SALMONELLA SENFTENBERG
SALMONELLA SPP
SALMONELLA STANLEY
SALMONELLA THOMPSON
SALMONELLA TYPHI
SALMONELLA TYPHIMURIUM
SALMONELLA VIRCHOW
SERRATIA FICARIA
SERRATIA FONTICOLA
SERRATIA GRIMESII
SERRATIA LIQUEFACIENS
SERRATIA MARCESCENS
SERRATIA ODORIFERA
SERRATIA PLYMUTHICA
SERRATIA RUBIDAEA
SERRATIA UREILYTICA
SHIGELLA BOYDII
SHIGELLA DYSENTERIAE
SHIGELLA FLEXNERI
SHIGELLA SONNEI
SHIGELLA SPP
STAPHYLOCOCCUS ARGENTEUS
STAPHYLOCOCCUS AUREUS
STAPHYLOCOCCUS AUREUS ATCC 25923
STAPHYLOCOCCUS AUREUS ATCC 29213
